Year,Subject,avg_IndATAR,avg_Gap,avg_ModeratedHSCScore,avg_ScaledScore,count_students
2007,Aboriginal Studies,45.83190717222222,2.8667358014000004,75.66666666666667,18.692945326555556,9
2007,Ancient History,49.650314736086955,-3.461241807,65.73913043478261,20.375189785652175,23
2007,Biology,63.53971213285714,3.1828970629409095,72.71428571428571,26.050289052857146,28
2007,Business Services Exam,49.43292848466667,4.86366461436,70.66666666666667,20.172192012266667,15
2007,Business Studies,53.9158184625,-1.5742837571142856,68.1875,21.88739559375,16
2007,Chemistry,76.33482542714286,9.704273245,75.28571428571429,32.20551120571429,7
2007,Community & Family Studies,42.616336759375,-1.5006253343,72.8125,17.482659313750002,16
2007,Construction Exam,49.98953415,1.3881222749999995,75.4,20.323939394,5
2007,Design & Technology,46.77422748111111,-0.7526862364999998,70.88888888888889,19.178018277777777,9
2007,Engineering Studies,62.47568716333333,-1.0082827603333333,73.66666666666667,25.245238096666668,3
2007,English Advanced,61.23516335516129,-5.603456580364286,73.2258064516129,24.766267280967742,31
2007,English Standard,41.508857553199995,-5.270719703687083,65.24,17.0560000002,50
2007,Food Technology,47.702516299375,-1.5575069712363636,69.625,19.641100229875,16
2007,Geography,75.51679654875001,10.32630461125,82.375,30.531111111250002,8
2007,Hospitality Exam,51.649363986000004,6.165190549625,69.8,20.880000000000003,5
2007,Information & Digital Technology Exam,40.51462139,-6.9843981802,68.33333333333333,16.702469135555557,9
2007,Information Processes & Technology,50.987044717,2.1763172471285714,73.9,20.954837717,10
2007,Legal Studies,57.701238110000006,1.24602251425,71.2,23.467545455,10
2007,Mathematics Advanced,63.690871640000005,-7.630165349014285,65.42857142857143,25.958212339142857,14
2007,Mathematics Extension 1,80.29468294666667,-5.7668205388,64.0,33.17669082,3
2007,Mathematics Standard 2,55.58682572674419,2.5772977623379307,72.27906976744185,22.593962832325584,43
2007,Modern History,58.347919742500004,-2.078405872333333,70.25,23.64132353,4
2007,Music 1,46.2847753375,-12.630039281533334,73.625,18.8758928575,8
2007,PDH&PE,61.152833728,1.7545811471764705,73.9,25.07548717965,20
2007,Physics,70.7508728575,3.6614800049857146,70.625,29.0699027175,8
2007,Society & Culture,43.930001788,-3.8602165646000004,62.7,17.9370454544,10
2007,Textiles & Design,37.806743133333335,-8.18305626275,70.22222222222223,15.571048511111112,9
2007,Visual Arts,37.54332904333333,-11.488878597500001,71.77777777777777,15.438814814444445,9
2008,Ancient History,43.74635592076923,-4.271935213241666,63.15384615384615,17.934432233076922,13
2008,Biology,53.389293386285715,4.426138930058824,66.08571428571429,21.73655844142857,35
2008,Business Services Exam,33.198729863,-7.927162183666667,66.4,13.5514651743,10
2008,Business Studies,42.129950987,2.566671948362857,64.4,17.278692309,10
2008,Chemistry,57.309361138999996,3.0004674145,59.8,23.255074628,10
2008,Community & Family Studies,51.709112895789474,3.0398106120166664,77.0,21.08449248126316,19
2008,Construction Exam,33.814025767,-2.602627052,68.0,13.7399393943,10
2008,Drama,44.022422577142855,-1.8953290887999998,71.57142857142857,18.071330722857144,7
2008,Engineering Studies,46.8877902475,4.2426043005,63.0,19.087846485,4
2008,English Advanced,55.66436403448276,-0.1791181162400001,71.75862068965517,22.809824759310345,29
2008,English Extension 1,86.82504927333333,10.055209441,79.33333333333333,36.06111111,3
2008,English Extension 2,93.97239264,6.332658798,88.0,39.74,1
2008,English Standard,37.612098908125,-0.24014880428076923,62.479166666666664,15.364236111708331,48
2008,Food Technology,37.36719746789474,-4.72928765165,68.47368421052632,15.245083296263159,19
2008,Geography,43.91021630714285,-4.211014761828571,62.42857142857143,17.92765527857143,7
2008,Hospitality Exam,30.96469304875,-3.2761830510000003,63.125,12.726958955,8
2008,Information & Digital Technology Exam,37.721163903749996,0.5280116487800001,69.1875,15.50316542375,16
2008,Legal Studies,48.376861708571425,-0.030558465657143024,68.28571428571429,19.67049486428571,7
2008,Mathematics Advanced,44.51325894375,-15.696570925,51.5,18.176470589,8
2008,Mathematics Extension 1,49.03789776,-16.4611156,40.0,20.16438356,1
2008,Mathematics Standard 2,39.318649838490565,-3.6972365261078948,63.132075471698116,16.08041329735849,53
2008,Modern History,56.750605534444446,2.3674515954285718,71.88888888888889,23.012430136666666,9
2008,Music 1,37.45688543,-12.7227964235,69.0,15.284362934285713,7
2008,PDH&PE,45.121343153999995,-0.6583156175315787,64.44,18.3927673984,25
2008,Physics,68.44108076333333,12.666121530333333,69.0,27.642350746666665,3
2008,Senior Science,34.51618568888889,-0.7652402831400004,68.88888888888889,14.193055555555555,9
2008,Society & Culture,70.84333055,4.009119357333334,78.71428571428571,28.73774725285714,7
2008,Visual Arts,56.662968451666664,-6.050482449,79.66666666666667,23.025219298333337,6
2009,Aboriginal Studies,38.442629196666665,3.6142066526666667,76.16666666666667,14.838672969833333,6
2009,Ancient History,54.092750871999996,0.23922012792000005,68.3,20.912299145,10
2009,Biology,56.646869934444446,2.074140465282353,66.55555555555556,21.938888888888886,18
2009,Business Services Exam,42.09565301833333,4.063917307333333,69.66666666666667,16.279253731166666,6
2009,Business Studies,50.74306675761905,-5.341479973126316,70.38095238095238,19.647030155714287,21
2009,Community & Family Studies,47.56288526,4.574876558333333,70.46666666666667,18.514458874933332,15
2009,Construction Exam,27.023390296363633,-11.82307005,63.18181818181818,10.433333332727273,11
2009,Design & Technology,42.84093660333334,-5.044516368416667,68.66666666666667,16.53236714888889,9
2009,Drama,47.451180132000005,-5.722605119724999,69.2,18.302301586,5
2009,Engineering Studies,49.79988067,-3.2754080306,67.4,19.222173914000003,5
